scenario,house_type,family_type,location,area,room,source_type,source_node,edge_type,target_type,target_node
1,단독주택,신혼부부,제주도,60,전체(집),cause,라떼 입양,motivation,action,단독주택 필요성 인식
1,단독주택,신혼부부,제주도,60,전체(집),action,단독주택 단지 여러 번 답사,motivation,action,정보 수집 및 이사 검토
1,단독주택,신혼부부,제주도,60,전체(집),cause,아파트에서 반려견 활동 제약 느낌,motivation,action,마당 있는 집 선호 강화
1,단독주택,신혼부부,제주도,60,전체(집),cause,지인의 단독주택 방문 경험,motivation,action,주택 짓기로 결심
1,단독주택,신혼부부,제주도,60,전체(집),action,단독주택 건축 결정,result,result,주택 특유의 여유·평온 경험
1,단독주택,신혼부부,제주도,60,전체(집),cause,코로나로 거리두기 일상화,motivation,action,집 내부 공간 활용 극대화
1,단독주택,신혼부부,제주도,60,전체(집),cause,집은 바꾸기 어려운 장기 자산,motivation,action,외관·외장재 우선 설계 기준 설정
1,단독주택,신혼부부,제주도,60,전체(집),cause,내가 원하는 집에 살아야 애착 형성,motivation,action,취향 명확화 및 일관된 의사결정
1,단독주택,신혼부부,제주도,60,전체(집),cause,예산 제약,constrain,action,"방은 작게, 공용 공간은 크게 설계"
1,단독주택,신혼부부,제주도,60,전체(집),action,공용 크고 방 작게 설계,result,result,거실·주방 시원한 개방감 확보
1,단독주택,신혼부부,제주도,60,전체(집),cause,자연과 가까운 삶 희망,motivation,action,큰 창·중정·조경 계획 반영
1,단독주택,신혼부부,제주도,60,외관,cause,외관은 한 번 지으면 바꾸기 어려움,motivation,action,외관 설계 초안 유지
1,단독주택,신혼부부,제주도,60,외관,cause,화이트+우드 조합 선호,selection,action,화이트 벽돌 + 루버 조합 채택
1,단독주택,신혼부부,제주도,60,외관,cause,벽돌의 견고·무게감 선호,selection,action,외장재로 벽돌 타일 선택
1,단독주택,신혼부부,제주도,60,외관,cause,유지보수 우려 제기,constrain,action,세라믹 사이딩 검토
1,단독주택,신혼부부,제주도,60,외관,cause,원하는 분위기엔 벽돌 타일 필수,motivation,action,세라믹 대신 벽돌 타일 고수
1,단독주택,신혼부부,제주도,60,외관,action,벽돌 타일 시공,result,result,견고하고 단단한 외관 구현
1,단독주택,신혼부부,제주도,60,외관,cause,루버의 질감 선호,selection,action,루버 요소를 내외부 디자인에 연속 적용
1,단독주택,신혼부부,제주도,60,외관,action,전문가의 마감 공력 투입,result,result,시간 경과해도 멋이 담기는 외관 완성
1,단독주택,신혼부부,제주도,60,외관,cause,방부목 색의 에이징 미감 수용,selection,action,방부목 채택 및 컬러 도장
1,단독주택,신혼부부,제주도,60,구성,action,2층 목조 주택 계획,result,result,약 60평 규모 주택 완성
1,단독주택,신혼부부,제주도,60,구성,action,본관(거실·부엌)과 별관(게스트룸·욕실·피트니스) 분리,result,result,중정을 통한 동선 분절 및 프라이버시 강화
1,단독주택,신혼부부,제주도,60,구성,cause,손님 프라이버시 보호 필요,motivation,action,게스트용 화장실을 별관에 배치
1,단독주택,신혼부부,제주도,60,구성,action,게스트룸·피트니스룸이 화장실 공유,result,result,공간 효율화 및 배관 집중
1,단독주택,신혼부부,제주도,60,중정,cause,어디서나 바깥 조망 희망,motivation,action,거실 주변에 큰 창 다수 계획
1,단독주택,신혼부부,제주도,60,중정,action,중정 설치,result,result,거실 어디서나 외부 조망 및 채광 확보
1,단독주택,신혼부부,제주도,60,창호,cause,답답함을 싫어함,motivation,action,커튼 최소화 및 통창 계획
1,단독주택,신혼부부,제주도,60,창호,action,침실 앞 통창 설치,result,result,작은 침실에도 개방감·채광 확보
1,단독주택,신혼부부,제주도,60,거실,cause,거실 체류시간 많음,motivation,action,거실을 크게·층고 높게 설계
1,단독주택,신혼부부,제주도,60,거실,action,층고 상승 및 실링팬 적용,result,result,이국적 공간감 연출
1,단독주택,신혼부부,제주도,60,거실,cause,동남아 모던 무드 의도,selection,action,"가구는 심플, 러그·식물·소품은 현지 무드로 선택"
1,단독주택,신혼부부,제주도,60,거실,action,태국산 식탁·스툴 구매,result,result,거실 컨셉 강화
1,단독주택,신혼부부,제주도,60,거실,cause,중정과 조경의 계절감 연출,motivation,action,큰 통창 앞 소파 배치
1,단독주택,신혼부부,제주도,60,거실,action,큰 통창 앞 소파 누워 벚꽃 감상,result,result,실내에서 사계 감상하는 휴식 경험
1,단독주택,신혼부부,제주도,60,서재,cause,남편의 독서·음악 취향,selection,action,2층 서재를 남편 전용 공간으로 계획
1,단독주택,신혼부부,제주도,60,서재,action,서재에 리클라이너·수백 장 CD 배치,result,result,조용한 독서·음악 감상 환경 제공
1,단독주택,신혼부부,제주도,60,서재,action,2층 서재에서 1층 거실 조망,result,result,수직적 시야 확장과 공간 연결감
1,단독주택,신혼부부,제주도,60,침실,cause,서로 다른 출근 시간·수면 간섭 최소화,motivation,action,침실 최소 크기 설계
1,단독주택,신혼부부,제주도,60,침실,action,침실을 침대 1개 크기로 계획,result,result,작지만 안락한 수면 환경
1,단독주택,신혼부부,제주도,60,침실,action,통창으로 중정 조망 확보,result,result,작은 방 답답함 해소
1,단독주택,신혼부부,제주도,60,드레스룸/마스터욕실,cause,호텔·온천 취향 반영,selection,action,큰 창과 노천탕 느낌 계획
1,단독주택,신혼부부,제주도,60,드레스룸/마스터욕실,action,세면·샤워 단차 설계,result,result,세면공간 건식 사용
1,단독주택,신혼부부,제주도,60,드레스룸/마스터욕실,cause,외부 루버 질감 실내 연속성 의도,motivation,action,목재 질감의 타일로 벽 마감
1,단독주택,신혼부부,제주도,60,드레스룸/마스터욕실,action,목재 느낌 타일 선택,result,result,동남아 리조트 감성 구현
1,단독주택,신혼부부,제주도,60,부엌,cause,보이는 물건 최소화 희망,motivation,action,상부장 배제·아일랜드로 수납 확보
1,단독주택,신혼부부,제주도,60,부엌,action,긴 싱크대 + 양면 수납 아일랜드 설치,result,result,미니멀한 주방 동선·정리 용이
